gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
LYST,1.43100259345255,3.25460365613715,19.9083470423101,5.14290602740587e-54,1.45128431152094e-51,112.324798587568
AC254633.1,3.84795048157416,4.9103372105109,19.9021644891686,5.39889981687518e-54,1.50748648992033e-51,112.276491710797
CSGALNACT2,1.52238407148074,4.39877500099596,19.8599432794501,7.52340408652363e-54,2.07881059165756e-51,111.946511318287
FLII,1.0981571838805,6.50830516304854,19.8368612052073,9.02040166006244e-54,2.46675437561666e-51,111.766048127996
SRGAP2,1.16822332276266,2.47972503972295,19.816503817895,1.05864534734452e-53,2.86547209016947e-51,111.60684950164
SEC23A,1.37090690394683,4.30747585986783,19.8109353973749,1.10603898896185e-53,2.96351416375777e-51,111.563297222828
NR2F1-AS1,1.50197205966178,1.36770141090958,19.7879403516293,1.32533664209758e-53,3.51558797682805e-51,111.383418087776
EPHA4,2.56280595902453,5.09334233748343,19.7560020639458,1.70398586663505e-53,4.47524050478825e-51,111.133505698166
SOX4,2.04788944576111,6.32093598728691,19.7527964477585,1.74752058256835e-53,4.54458146796158e-51,111.10841745023
TNC,3.36688048117727,4.46586538962869,19.7338999000308,2.02775476353728e-53,5.2221575589893e-51,110.960508963782
DOK7,2.5489373418219,2.78221662391484,19.7072293409985,2.5015206811735e-53,6.3803209220008e-51,110.751699946319
KLF8,1.21035578479157,2.16770142749439,19.7042459548867,2.56097960627993e-53,6.46976619392204e-51,110.728338716583
PRSS23,2.60959556105317,5.71392672218479,19.7004755357375,2.63815281932928e-53,6.60185298920079e-51,110.698813603042
SEL1L3,2.46043107761538,5.38546316017464,19.695468048591,2.74425847091269e-53,6.80319628032055e-51,110.659599508892
